Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Compound,Payment_Option,Delivery_Date,Delivery_Term,City
Apartment,5800000,2,3,160.0,No,1,Eastown,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1844900,4,3,222.0,No,1,Beit Al Watan,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Duplex,3900000,5,5,290.0,No,12,Jayd,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,1650000,2,2,144.0,No,1,Zayed 2000,Cash or Installment,2024,Finished,Sheikh Zayed
Apartment,309825,4,3,153.0,No,1,Beit Al Watan,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2350000,3,3,178.0,No,2,La Mirada,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,1050000,3,1,108.0,No,3,Maadi V,Cash or Installment,2023,Semi Finished,Zahraa Al Maadi
Apartment,1500000,3,2,136.0,No,3,One Kattameya,Cash,2024,Not Finished,Nasr City
Apartment,2100000,3,2,168.0,No,3,Gardenia,Cash,2024,Finished,6th of October
Apartment,975000,2,2,121.0,No,4,The Pearl,Cash or Installment,2024,Semi Finished,Kafr al-Sheikh City
Duplex,6095000,4,5,246.0,No,1,Village West,Cash or Installment,2024,Finished,Sheikh Zayed
Apartment,720000,1,1,90.0,No,2,Midtown Sky,Cash or Installment,2025,Semi Finished,New Capital City
Apartment,550000,2,2,75.0,No,9,2020 Compound,Cash or Installment,2024,Semi Finished,Imbaba
Apartment,3320000,3,3,164.0,No,2,EL Patio ORO,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2770000,2,2,128.0,No,1,EL Patio Casa,Cash or Installment,2025,Semi Finished,Shorouk City
Apartment,1984000,4,3,224.0,No,1,Beit Al Watan,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1750000,3,2,166.0,No,1,2020 Compound,Cash,2024,Semi Finished,Sheikh Zayed
Apartment,3100000,3,3,183.0,No,2,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2950000,1,1,106.0,No,1,Aeon,Cash,2024,Semi Finished,Sheikh Zayed
Apartment,2700000,2,2,123.0,No,2,Galleria Moon Valley,Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,5550000,2,2,124.0,No,1,Belle Vie,Cash,2025,Finished,Sheikh Zayed
Penthouse,3700000,4,3,263.0,No,3,El Khamayel,Cash or Installment,2024,Finished,Sheikh Zayed
Apartment,2600000,2,3,135.0,No,1,Hyde Park New Cairo,Cash,2024,Not Finished,New Cairo - El Tagamoa
Penthouse,3300000,3,3,167.0,No,2,Fifth Square,Cash or Installment,2022,Finished,New Cairo - El Tagamoa
Apartment,1500000,2,1,70.0,Yes,3,Madinaty,Cash or Installment,2024,Finished,Madinaty
Apartment,1650000,2,1,96.0,No,4,Madinaty,Cash,2024,Finished,Madinaty
Apartment,925000,2,1,84.0,No,4,Madinaty,Installment,2024,Finished,Madinaty
Apartment,480000,2,1,78.0,No,1,Madinaty,Installment,2024,Finished,Madinaty
Apartment,1680000,3,2,116.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1700000,3,2,116.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2204875,2,2,155.0,No,1,Sephora Heights,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,5707888,2,2,121.0,No,1,Cairo Gate,Installment,2025,Finished,Sheikh Zayed
Duplex,3886383,3,3,235.0,No,1,Mountain View iCity,Installment,2025,Not Finished,6th of October
Duplex,4787252,3,3,270.0,No,12,Mountain View iCity,Installment,2025,Not Finished,6th of October
Apartment,2838367,2,2,100.0,No,1,Mountain View iCity,Installment,2025,Not Finished,6th of October
Apartment,2931567,3,3,140.0,No,1,Mountain View iCity,Installment,2025,Not Finished,6th of October
Apartment,1640000,3,2,168.0,No,3,Not in Compound,Cash or Installment,2024,Not Finished,Obour City
Apartment,3500000,3,3,180.0,No,2,Rehab City,Cash,2024,Finished,Rehab City
Apartment,1750000,3,2,116.0,No,3,Madinaty,Cash,2024,Finished,Madinaty
Apartment,6390000,3,3,170.0,No,3,EL Patio 7,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,4767888,2,2,115.0,No,1,Cairo Gate,Installment,2025,Finished,Sheikh Zayed
Apartment,3753888,1,1,86.0,No,3,Cairo Gate,Installment,2025,Finished,Sheikh Zayed
Apartment,4100000,3,3,250.0,No,1,Mountain View iCity,Installment,2025,Semi Finished,6th of October
Duplex,4100000,4,4,400.0,No,1,Mountain View Chillout Park,Cash,2024,Semi Finished,Sheikh Zayed
Apartment,550000,3,1,105.0,No,3,Baet El Masria,Cash,2024,Finished,Hadayek 6th of October
Apartment,1800000,2,2,96.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,5315888,2,2,117.0,No,5,Cairo Gate,Installment,2025,Finished,Sheikh Zayed
Apartment,1162500,3,2,155.0,No,2,The City,Cash,2025,Semi Finished,New Capital City
Apartment,2900000,3,3,128.0,No,2,Tag Sultan,Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,7000000,5,4,340.0,No,1,Al Burouj,Cash or Installment,2025,Finished,Shorouk City
Apartment,2500000,4,2,250.0,No,2,Not in Compound,Cash,2024,Finished,Mokattam
Apartment,1350000,3,2,135.0,No,2,Makany,Cash or Installment,2024,Not Finished,Katameya
Apartment,2400000,3,2,125.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,2000000,3,2,123.0,No,3,Rehab City,Cash,2024,Finished,Rehab City
Apartment,2580000,3,3,160.0,No,1,EL Patio 7,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,2100000,2,2,110.0,No,1,Rehab City,Cash,2024,Finished,Rehab City
Apartment,3837000,2,2,138.0,No,3,90 Avenue,Installment,2023,Finished,New Cairo - El Tagamoa
Apartment,3500000,3,3,170.0,No,2,Galleria Moon Valley,Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2840000,2,2,127.0,Yes,1,Fifth Square,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,4500000,4,3,253.0,No,4,Rehab City,Cash,2024,Finished,Rehab City
Apartment,1450000,2,2,89.0,No,2,Madinaty,Cash,2024,Finished,Madinaty
Apartment,1600000,3,1,140.0,Yes,8,Not in Compound,Cash,2024,Finished,Qasr al-Nil
Duplex,4850000,5,5,290.0,No,3,Jayd,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,4200000,3,3,237.0,No,4,Rehab City,Cash,2024,Finished,Rehab City
Apartment,2000000,2,1,96.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,3485000,2,2,133.0,Yes,3,Mountain View Hyde Park,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,1200000,3,2,131.0,No,8,One Kattameya,Cash,2024,Not Finished,Katameya
Apartment,2000000,3,2,165.0,No,1,El Khamayel,Cash,2024,Finished,Sheikh Zayed
Apartment,3000000,3,3,160.0,No,1,Continental Gardens,Cash,2024,Finished,Sheikh Zayed
Penthouse,2350000,3,3,175.0,No,3,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2800000,3,3,153.0,No,1,Etapa,Cash,2024,Finished,Sheikh Zayed
Penthouse,3200000,5,4,275.0,No,3,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1300000,3,2,165.0,No,2,Mountain View iCity,Cash or Installment,2025,Semi Finished,New Cairo - El Tagamoa
Penthouse,2800000,4,4,220.0,No,3,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1400000,2,2,115.0,No,1,Dar Misr,Cash,2024,Finished,Sheikh Zayed
Apartment,1700000,2,1,128.0,No,1,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Duplex,2250000,3,3,211.0,No,1,Amorada,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,4250000,2,2,139.0,No,3,Cairo Festival City,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2402000,3,3,164.0,No,3,Sarai,Installment,2024,Not Finished,New Cairo - El Tagamoa
Duplex,5690000,4,3,200.0,No,1,Trio Gardens,Cash or Installment,2023,Finished,New Cairo - El Tagamoa
Apartment,248000,2,2,128.0,No,2,Stone Residence,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Duplex,2500000,4,3,350.0,No,4,Dyar,Cash,2024,Finished,New Cairo - El Tagamoa
Penthouse,4700000,4,3,174.0,No,12,Fifth Square,Installment,2025,Finished,New Cairo - El Tagamoa
Apartment,2750000,3,3,157.0,No,1,Etapa,Cash or Installment,2024,Finished,Sheikh Zayed
Apartment,3150000,3,3,174.0,No,4,Palm Hills New Cairo,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Penthouse,3300000,2,3,128.0,No,12,EL Patio ORO,Installment,2023,Semi Finished,New Cairo - El Tagamoa
Apartment,2700000,3,3,165.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,9500000,4,4,240.0,No,2,Swan Lake,Cash or Installment,2025,Finished,New Cairo - El Tagamoa
Apartment,2610000,3,3,174.0,No,1,Leila,Cash,2024,Finished,New Cairo - El Tagamoa
Duplex,5805000,3,3,185.0,No,5,Mountain View iCity,Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,850000,2,1,100.0,No,2,Aeon,Cash,2024,Finished,Ismailia City
Studio,1003000,1,1,69.0,No,1,Tag Sultan,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,500000,3,2,180.0,Yes,3,Al Burouj,Cash or Installment,2025,Finished,Shorouk City
Apartment,700000,3,3,170.0,Yes,3,Swan Lake,Installment,2025,Finished,New Cairo - El Tagamoa
Apartment,2500000,4,3,200.0,No,1,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2750000,3,3,200.0,No,1,Zayed Dunes,Cash,2024,Not Finished,Sheikh Zayed
Apartment,6211000,4,3,254.0,No,2,Palm Hills New Cairo,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,1950000,2,3,155.0,No,1,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1600000,3,3,180.0,No,1,Not in Compound,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1950000,3,3,175.0,No,1,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2350000,4,3,220.0,No,1,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1650000,2,2,140.0,No,1,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1350000,2,2,140.0,No,1,Stone Residence,Cash,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1950000,2,2,103.0,No,1,IL Bosco City,Cash or Installment,2025,Not Finished,New Cairo - El Tagamoa
Apartment,850000,2,1,100.0,Yes,2,Korba Heights,Cash,2024,Finished,New Heliopolis
Apartment,550000,3,3,167.0,No,2,Fifth Square,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,600000,3,3,140.0,No,1,Fifth Square,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,2000000,2,1,98.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,600000,3,3,169.0,No,1,Sephora Heights,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,3250000,3,3,175.0,No,4,Madinaty,Cash,2024,Finished,Madinaty
Apartment,3300000,2,2,137.0,No,2,Beverly Hills,Cash,2024,Finished,Sheikh Zayed
Apartment,1350000,2,2,140.0,No,1,Stone Residence,Cash,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,7688888,3,2,157.0,No,2,Cairo Gate,Installment,2025,Finished,Sheikh Zayed
Apartment,4011888,1,1,85.0,No,2,Cairo Gate,Installment,2025,Finished,Sheikh Zayed
Apartment,1992000,2,2,107.0,No,3,Al Maqsad,Installment,2024,Finished,New Capital City
Apartment,4650000,3,2,167.0,Yes,2,Mountain View Hyde Park,Cash,2024,Finished,New Cairo - El Tagamoa
Duplex,5750000,3,3,278.0,No,1,Mountain View Hyde Park,Cash,2024,Finished,New Cairo - El Tagamoa
Apartment,410000,4,3,190.0,Yes,3,Hyde Park New Cairo,Cash or Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,244000,3,3,187.0,No,2,Rhodes,Cash or Installment,2024,Semi Finished,New Capital City
Apartment,1342500,3,3,179.0,No,2,Beit Al Watan,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1150000,3,2,112.0,No,5,Ashgar City,Cash or Installment,2024,Finished,6th of October
Apartment,1422840,3,2,144.0,No,1,Not in Compound,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,330000,3,2,164.0,No,2,Sarai,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,176175,2,2,135.0,No,2,Rhodes,Cash or Installment,2024,Semi Finished,New Capital City
Apartment,2600000,2,2,130.0,No,2,Galleria,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2450000,3,3,170.0,No,2,Mountain View iCity,Cash,2024,Not Finished,New Cairo - El Tagamoa
Apartment,2000000,2,1,89.0,No,1,Madinaty,Cash,2024,Finished,Madinaty
Apartment,3000000,3,3,194.0,No,4,Palm Hills New Cairo,Installment,2024,Not Finished,Rehab City
Penthouse,3450000,3,2,167.0,No,3,Fifth Square,Installment,2024,Finished,New Cairo - El Tagamoa
Penthouse,3500000,3,3,187.0,No,3,Fifth Square,Installment,2024,Finished,New Cairo - El Tagamoa
Apartment,3620000,3,3,166.0,No,3,Galleria Moon Valley,Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,2250000,3,3,160.0,No,2,Mountain View iCity,Cash,2024,Not Finished,New Cairo - El Tagamoa
Apartment,4450000,4,3,205.0,No,3,Fifth Square,Installment,2024,Semi Finished,New Cairo - El Tagamoa
